conversation_id,brand,customer_message,historical_support_response,timestamp,conversation_context,customer_author,support_author,parent_tweet_id,response_tweet_id,conversation_length,is_dm_redirect
06c344b471b8,spotifycares,"upgraded to Family, link in e mail to send 'invites' gets me this: [URL]",Hi Chris! Could you give this link: [URL] a go on a desktop or laptop computer? We'd also suggest using an incognito window. Let us know if that helps /NJ,Sat Nov 25 10:27:31 +0000 2017,,392386,SpotifyCares,nan,1157922,2,False
505fa6581df6,spotifycares,I understand. Annoying that I had to download the app to find out though. There was no hint of it from the Google search.,"Apologies for the confusion. Not to worry, we'll let the right folk know about your thoughts /JP",Mon Oct 09 19:24:47 +0000 2017,[support]: @115888 Hey Mark! Can you send us the Album Link? Just tap the three dots &gt; Share &gt; Copy Link. What country is your account set to? /JP | [customer]: @115888 Oops. Already deleted the app! It was 'Vs Time' by Span. My country was set to UK. | [support]: Thanks! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /JP,210708,SpotifyCares,400471.0,400469,5,False
f49cd3f7997c,spotifycares,hi! I'm trying to get the Family plan for my account in URL [URL] and it doesn't allow me to continue with the postal code C1427EFJ. Can you help? Thanks,Hey Bárbara! Are you getting any specific error messages? Can you also DM us your account's username or email address? We'll take a look /YM [URL],Sat Nov 11 21:30:10 +0000 2017,,207860,SpotifyCares,nan,2293421,2,True
c20662e496e9,spotifycares,Many thanks :),You're welcome! Give us a shout if you ever need us again. We'd be... [URL] /KB,Tue Nov 21 05:27:49 +0000 2017,"[support]: Hey Alexis! This feature can only be accessed when you stream any of the 15 Stranger Things playlists we've created with Netflix. Don't worry, we'll let the team know it's something you'd like to see on other playlists too /KB",325116,SpotifyCares,863724.0,863722,3,False
f30f6f8d6726,spotifycares,Okay yep sorry but I explained myself poorly. After listening to a playlist it will create a radio for that playlist. That radio plays other artists and tracks. So I’m wondering if I can delete those radios. I hope that’s better,Hmm. Can you try heading to Settings &gt; Playback &gt; toggle off AutoPlay? Does that help? /RE,Wed Nov 29 10:26:00 +0000 2017,"[support]: Hey there! Are you currently on Free or Premium? Also, are you hearing the different artists in between tracks or at the end of the playlist? We'll check things out for you /RE | [customer]: I’m on free because premium cost money and like I listen to a playlist with numerous artists and then it creates a radio for it which confuses me because I don’t read which one is which. | [support]: Thanks. We're afraid Suggested Tracks will play when listening to an album or playlist as it's part of our Free service: [URL] You can check out [URL] if you haven't had Premium before. Give us a shout if there's anything else /RE",811141,SpotifyCares,2933217.0,2933219,5,False
1d1fc474997c,spotifycares,Android 8 Spotify app version 8.4.30.688 armV7,Got it. Can you DM us your account's email address or username? We'll take a look backstage /MT [URL],Sun Dec 03 09:58:38 +0000 2017,"[support]: Hey there! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /RC",255582,SpotifyCares,576174.0,576177,3,True
af1e3504e1a5,spotifycares,I have a feature suggestion. Where would I send that to?,"Hey there! We'd love to hear your suggestion, so fire away. We'll pass it onto the right team /GU",Fri Oct 13 13:41:26 +0000 2017,,326686,SpotifyCares,nan,870493,2,False
c89a11441f2f,spotifycares,It now seems to be working fine. Always the way....!,Great! Glad to hear it's working. Just let us know if we can help with anything else. [URL] /RB,Fri Nov 24 23:34:57 +0000 2017,"[support]: Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /RB",156325,SpotifyCares,172535.0,172538,3,False
d6758a03db99,spotifycares,"hello, I ve just payed Spotify premium, but I forgot to update my country in the details before. My account shows me that my current country is UK , bun now I live in the Netherlands. I payed with pound. Is there anyway to fix this?","Hey Simone, help's here! Could you send us a DM with your account's username or email address? We'll take a look and see what we can suggest 🔍 /DB [URL]",Sun Dec 03 14:04:22 +0000 2017,,258794,SpotifyCares,nan,587524,2,True
bcf1732cce55,spotifycares,"Yup that's what I did right after, looks like it solved the issue! Thx for the follow up 👌","You're welcome! We're happy to hear everything's sorted out. If you need anything else, just give us a shout. [URL] 🙂 /KC",Tue Nov 28 00:02:20 +0000 2017,[support]: Hey Gaël! Can you reinstall the app by following the steps here and restart your device: [URL] Does that help? /KC,795554,SpotifyCares,2864073.0,2864076,3,False
764450625ebe,spotifycares,Just sent a DM,Hey there! We've just sent you a DM. Let's continue chatting there /NS,Tue Nov 14 01:10:45 +0000 2017,"[customer]: hey! I upgraded to a family account and input some wrong info, I need to update it. Thanks | [support]: Hey there! Can you DM us your account's email address or username? We'll see what we can suggest /RH [URL]",472115,SpotifyCares,1517701.0,1517704,4,False
73ed07dd28d1,spotifycares,why can't i change the cover/description of my playlists?? it seems like everyone else can but me?? 😔,"Hi there! Just to check, are you using the desktop app to change your playlist cover: [URL] /RE",Wed Oct 11 11:37:29 +0000 2017,,296358,SpotifyCares,nan,737366,2,False
c38d4bad4daa,spotifycares,Thanks for letting me know! Is there a reason that full lyrics aren’t made accessible to all listeners like it was a few years ago?,"We're afraid we don't have any specifc info to share, but we're always testing things in order to improve Spotify. Head here: [URL] On another note, you can support the lyrics feature idea by voting at [URL] /JE",Wed Nov 29 19:54:21 +0000 2017,"[support]: Hey Lou, sorry to hear that. The annotations give extra details to the songs. In the track's last Genius card, there’s a link to the full lyrics. If you’re Premium, you can connect your Spotify account to the Musixmatch mobile app to enjoy lyrics: [URL] /JE",816042,SpotifyCares,2956310.0,2956313,3,False
c69886bfb83e,spotifycares,It was recently. What changed ?,Changes to licensing agreements can affect availability of tracks/albums/artists on certain countries. Hope this clears things up /AY,Thu Oct 26 14:32:42 +0000 2017,[support]: Thanks. Could you also let us know the country your account is currently set to? We'll check things out /AY | [customer]: Should be set to UK | [support]: Got it. Looks like the album isn't available in your country due to licensing. More info here: [URL] /AY,416015,SpotifyCares,1264067.0,1264069,5,False
ac91f8eb987c,spotifycares,"after i've undownloded all songs (took all playlists and albums off of offline mode), spotify still takes up a whopping 8GB on my phone? it hasn't changed, even after i deleted over 200 songs worth of data!!! [im using an iPhone 7 running iOS 10.3.2]","Hi Erin, help's here. Can you let us know the Spotify version you're running? We'll see what we can suggest /NY",Sun Nov 19 08:24:40 +0000 2017,,751327,SpotifyCares,nan,2666950,2,False
3b0fc88e84d1,spotifycares,I need to reset password...The password reset link doesn't arrive. Spotify support processes are really rubbish!,"Hi, sorry to hear you feel that way! Could you DM us your account's email address? We'll see what we can do to help you out /CX [URL]",Fri Nov 17 14:10:09 +0000 2017,,740007,SpotifyCares,nan,2618565,2,True
d075064669b9,spotifycares,you linked my account to facebook which I don't have. Please cancel my account.,Hey there! Help's on its way. Can you DM us your account's email address? We'll take a look backstage /DD [URL],Sat Oct 21 23:03:26 +0000 2017,,559794,SpotifyCares,nan,1875177,2,True
1a98cba82923,spotifycares,I'm on a high-speed wired connection and all other web functionality is 100%. Have cleared cache &amp; restarted browser.,"Don't worry, we'll sort this out. Try using an incognito window or a private browser. Any better? /MV",Thu Oct 05 15:04:57 +0000 2017,[support]: Can you tell us more about what's happening? Are you getting any specific error messages? A screenshot would come in handy /MV | [customer]: Everything that should be clickable is clickable. And the clicks register (I can see the player respond to the click). But it doesn't play. [URL] | [support]: How's your internet connection for loading other web pages? Can you try clearing your browser’s cache and restarting the web player? /MV,172260,SpotifyCares,236265.0,236267,5,False
d9e4a02be14f,spotifycares,Hulu says it cannot authorize my spotify account when trying to sign for the student premium deal. Need help,"Hi Chris. Don't worry, help's here. Can you DM us your username or email address so we can take a look? /JU [URL]",Sun Nov 05 21:54:20 +0000 2017,,600134,SpotifyCares,nan,2029433,2,True
3e4bd2cb5e95,spotifycares,"Hi there, the Spotify app has stopped working for me, giving me an error message. I’ve restarted my phone. Closed and opened the app. Restarted my internet. Tried on 4G. To no avail. Looks like the web player is affected too. Any ideas what’s happening?",Hey there! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /FR,Tue Nov 28 21:03:29 +0000 2017,,807654,SpotifyCares,nan,2917900,2,False
2d6dadc06b8b,spotifycares,hey hey - can I use @Tesco gift card to pay for my on going subscription that I already have?,"Hey Richard! Yes, you can use a Tesco gift card on your account. You can redeem it here: [URL] Hope this helps 😁 /NS",Thu Nov 02 21:55:01 +0000 2017,,414465,SpotifyCares,nan,1475984,2,False
75c54d82bfda,spotifycares,@805597 @111579 Same here,"Hey Josh, thanks for the report. We had a little hiccup earlier but everything should be running just fine now /CE",Tue Nov 28 21:18:29 +0000 2017,[support]: @111579 Hey. Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon! /K,805600,SpotifyCares,2909853.0,2909866,3,False
3b6d7152e1df,spotifycares,"Hello! One of the mates i live with, cant access the Spotify Family i have created?? It says error after the information??","Hey Mikkel, help's here! Could you DM us your account's email address or username? Don't forget to fire over your friend's info as well /JE [URL]",Tue Nov 07 12:13:33 +0000 2017,,600792,SpotifyCares,nan,2031774,2,True
3b819f9c26b2,spotifycares,"new to this, created a play list, hit shuffle but just plays all Beatles tracks on there-nothing else?","Hi Alan, help's here! Can you send us a link to your playlist? Just follow the steps at [URL] /DV",Sun Nov 05 12:13:39 +0000 2017,,495994,SpotifyCares,nan,1617559,2,True
732df010ce24,spotifycares,"I have an account for my younger sister, she forgot her login details to cancel her trial. After 4 days and numerous attempts we finally got bk in! If I cancel the account now, will premium continue to work until the last day, payed for?","Hey there! Yes, it will. Her account will revert to Free on her renewal date. Let us know if you have other questions 🙂 /MG",Sun Nov 19 18:17:44 +0000 2017,,759538,SpotifyCares,nan,2704312,2,False
1d2307411252,spotifycares,Spotify followed up by thanking me for watching the ad and then informing me that I could enjoy the next 30 minutes of ad free listening,"That's strange. We'll get this passed on to our devs so they can look into it. For now, give us a shout if you need anything else /MC",Tue Oct 31 22:29:17 +0000 2017,"[support]: Hey Travis, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /MC | [customer]: Also why does my girlfriends account go three or more songs between ads and mine usually one after being a long time premium account | [support]: Thanks! Just to confirm, did you watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /MC",495535,SpotifyCares,1615803.0,1615806,5,False
f186819b840c,spotifycares,did the latest iOS app update break the BMW connection?,Hi! We're afraid we don't have that info. Can you let us know what's happening exactly? Are you getting any specific error messages? /LM,Tue Oct 31 13:53:17 +0000 2017,,304409,SpotifyCares,nan,1968160,2,False
e091b6e81706,spotifycares,No I’ve tried.,Thanks for confirming. Could you DM us your account's email address? We'll take a look under the hood /KB [URL],Tue Nov 14 23:33:57 +0000 2017,"[support]: Got it. How long has this been going on? Is this happening on 3G/4G, WiFi, or both? /KB | [customer]: About a week or more. &amp; both. | [support]: Hmm. Does restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds help at all? /KB",700301,SpotifyCares,2442018.0,2442016,5,True
1074c88a15d0,spotifycares,I have a Premium account through FB and want to change to log in via email only with the same email associated with my FB account. Please help. Thanks,Hey there! Can you DM us your account's email address? We'll take a look backstage /TJ [URL],Fri Nov 24 16:09:09 +0000 2017,,151204,SpotifyCares,nan,153773,2,True
2ef7f0dedb71,spotifycares,I meant the “music in year” actually. In 2015 and 2016 we got a playlist of our most streamed songs in that year. I cant find it now...,"Oh, gotcha! Don't worry, we're definitely doing ""Wrapped"" this year. For now, keep your eyes peeled for more info in the coming weeks 👀 /JE",Fri Dec 01 12:35:42 +0000 2017,"[support]: Hey there! We don't have news to share on this right now, but we'll let the right team know it's something you'd like to see /AR",230137,SpotifyCares,483966.0,483961,3,False
839bb895aebe,spotifycares,Thanks! Also adding some kind of store for merch so y'all can make a cut? Idk,"No worries! About merch, our friends in Artist Support are the right folks to help with this. You can get in touch with them here: [URL] Hope this helps /MU",Thu Nov 30 14:54:38 +0000 2017,"[support]: Hi there! Thanks for the feedback. We'll make sure it's passed on to the right folks. In the meantime, let us know if we can help with anything else /MU",131857,SpotifyCares,70698.0,70701,3,False
2e5be6cee6f9,spotifycares,thanks for not giving me a warning that the student discount I was using no longer works and taking £10 out of my account 👍🏼😡,"Hey Georgia, the calvary's here! Can you DM us your account's email address and username? We'll take a look backstage /MX [URL]",Mon Oct 23 16:19:02 +0000 2017,,565834,SpotifyCares,nan,1898604,2,True
ed12606b774d,spotifycares,i hate to be a bother but when will @449566 have her song eyes shut on her spotify list?,"We're afraid we don't have more info on this. Don't worry, it's already been reported. Hopefully it'll get resolved soon /DR",Fri Nov 03 07:05:46 +0000 2017,"[support]: Hi there. Don't worry, help's here. Can you tell us exactly what's going on? We'll see what we can suggest /JU | [customer]: You didn't put @449566 's song on her Spotify page it's been a week | [support]: Thanks for bringing this up. Can you send over the URI of both the song and her Spotify page? /JU",449565,SpotifyCares,1417886.0,1417895,5,False
4317cc206ee8,spotifycares,"/ when I 3 months ago paid you’d £119 for a yearly subscription for Spotify premium , so can you get me in touch with someone to sort this",Hey Laura! Help's here. Can you DM us your account's username and email address? We'll take a look backstage /JL [URL],Sun Oct 22 21:44:39 +0000 2017,[customer]: hello I’ve just been made aware that Spotify has basically been stealing money from my account to pay for Spotify premium/,562089,SpotifyCares,1883532.0,1883530,3,True
a9875b235b8d,spotifycares,"It happens on the devices I mentioned, I checked on the web player and it's fine there.","We hear you! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /RV",Tue Oct 17 18:27:52 +0000 2017,"[support]: Hey there, help's here! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /RV | [customer]: Yes! MacBook Pro macOS Sierra 10.12.6 &amp; Spotify 1.0.65.320.gac7a8e02 / OnePlus 3T running Android 7.1.1 &amp; Spotify 8.4.23.784 armV7. | [support]: Got it! And to confirm, does the issue happen across all your devices, or just one? Let us know /RV",519483,SpotifyCares,1715268.0,1715270,5,False
487e55a46eec,spotifycares,how do we make a playlist on a artist page?,Hey Charlie! We have some helpful info about this here: [URL] Give us a shout if there's anything else /AY,Tue Oct 24 10:35:16 +0000 2017,,387248,SpotifyCares,nan,1134237,2,False
8ded0b0b8ccb,spotifycares,That worked! Simple enough lol thanks!,"Awesome, that's what we like to hear! If you need us again, just... [URL] /RV",Mon Oct 09 21:56:15 +0000 2017,"[support]: Hey Mike! Don’t worry, we can help. Can you let us know what device/OS you’re using? We'll be right here /RV | [customer]: Hey thanks a lot! I’m using an iPhone 7 and IOS 11.0.2 | [support]: Got it! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /RV",210457,SpotifyCares,399543.0,399545,5,False
d1a2297ed3b0,spotifycares,"yea, usually it’s ok, and I love a lot of old white guys, but man, what I wouldn’t give for a “ban alll Grateful Dead and Eagles associated artists to hell” button CC @97498","We can see how that’d be handy. Thanks for taking the time to reach out – and don't worry, your Discover Weekly should improve as it gets to know you. Keep adding your fav tracks to Your Library/playlists 🙂 /DN",Wed Nov 15 22:41:11 +0000 2017,"[support]: Hi Michael. Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune with your tastes next week! Give us a shout if you need anything else /DN",715372,SpotifyCares,2509499.0,2509502,3,False
964c3914cb53,spotifycares,It was working until today,Hi there! We've just sent you a bit more info over DM. Let's carry on chatting there /GU,Fri Oct 27 18:56:35 +0000 2017,[customer]: please help i bought a 14.99 family subscription and was billed on Sept 28 As of today my account isn’t working | [customer]: I was previously on a free two year trial my son is on the plan and his works my won’t Says I need premium I paid for premium,436306,SpotifyCares,1356628.0,1356626,4,False
9fe5de502358,spotifycares,you offered me the 30 day free trial and then tried to charge me lol,Hmm. Could you send us a DM with your account's email address? We'll take a look backstage /DR [URL],Sun Nov 19 07:05:39 +0000 2017,"[support]: Hey, help's here! Can you tell us what's happening exactly? We'll see what we can suggest /BE",748191,SpotifyCares,2653016.0,2653014,3,True
91761e83958b,spotifycares,"Someone got back to me via email, all sorted now. Thanks anyway!","Sounds good! If you ever need anything else, just shout and we'll come running 🏃 /JX",Wed Nov 22 17:28:40 +0000 2017,"[customer]: Hi, my account has been hacked and my email address changed. I now can't access my account at all. Help! | [support]: Hey Rob, that's not cool! Could you DM us your account's username and email address? We'll take a look backstage /JX [URL]",270293,SpotifyCares,633989.0,633992,4,False
15514e123cd3,spotifycares,"Desktop/Win7/1.0.67.582.g19436fa3, and it's not a bug or anything, just due to the live search. I'd just prefer an option to not be taken to the 'recent searches' page when clicking on/clearing the search bar","Thanks for the info. It's definitely something for the team to consider, and we'll make sure your feedback reaches them. Drop us a tweet if you need help with anything else /MT",Mon Nov 20 03:21:49 +0000 2017,"[support]: Hey there! Don't worry, we're here to help. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /MT",761411,SpotifyCares,2711976.0,2711979,3,False
661e1e20ab27,spotifycares,"My premium has changed to Spotify free despite taking my payment last week, I'd like to know what's happened and that it be resolved. Thanks.",Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF [URL],Sun Nov 12 16:29:27 +0000 2017,,669156,SpotifyCares,nan,2306600,2,True
8649ffd067f2,spotifycares,"well, the problem actually got solved, i updated dell stuff and somehow that turned dell audio's ""MAXXAUDIO pro"" on and it screwed with it?",We're glad to hear everything's working now. Give us a shout if it starts misbehaving again; we're always here to help /RC,Mon Oct 23 03:41:27 +0000 2017,[support]: Hi there! Can you let us know the Windows and Spotify versions you're currently using? We'll see what we can suggest /NQ,363346,SpotifyCares,1028467.0,1028470,3,False
ed6f436a85c5,spotifycares,I just updated my iphone 7+ to IOS 11.1 and now the only music on Spotify I’m able to listen to is what I have downloaded. I get an error and every tab of the app. I’ve tried reinstalling and restarting the phone 🤷🏼‍♂️,Hey Aaron! Everything should be running smoothly now. Let us know if this is still happening /GS,Tue Nov 28 21:15:04 +0000 2017,,808049,SpotifyCares,nan,2919408,2,False
8af74fcbc06b,spotifycares,It does meet all requirements. I’ve used a prepaid card many times previously. Not sure why they are suddenly not being accepted?,No worries! Could you DM us your Spotify account's email address? We'll take a look under the hood /BH [URL],Sat Oct 14 18:25:25 +0000 2017,[support]: Hey Faith! Let's make sure your card meets all the requirements on the picture below. Keep us posted /BH [URL],540453,SpotifyCares,1798675.0,1798678,3,True
590bb52e418a,spotifycares,"It's the heading for the ""browse"" section. It's in both Chinese and English because HK is bilingual. But it should be in Traditional Chinese",Can you DM us your account's username or email address? We'll check things backstage /MU [URL],Tue Oct 10 14:42:18 +0000 2017,"[support]: Just to check, is it only appearing on some tracks? If so, can you send us the song/album link? We'll take a closer look /MU",217070,SpotifyCares,431434.0,431432,3,True
ed6b1787c890,spotifycares,"IPhone 7s, latest iOS, latest app update",Thanks. Can you try logging out &gt; restarting your phone &gt; logging back in? See if that helps /RH,Thu Nov 16 00:49:20 +0000 2017,"[support]: Hey Darin, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",707283,SpotifyCares,2473657.0,2473660,3,False
5749226e6495,spotifycares,"I'm having issues where even though songs are downloaded and in my playlist, they won't play.","Hey Rafael! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH",Sun Oct 08 22:24:51 +0000 2017,,204575,SpotifyCares,nan,373741,2,False
0f61aa75bc6d,spotifycares,how the fuck is possible that i see track lists adoring Charles Manson? i cannot even disable them. This is super disgusting,"Hey Karel! Can you give us a little more info on this? Are you seeing this in playlists? If so, can you send us over a screenshot of what you're currently seeing, and any links to the playlists in question? /K",Thu Nov 23 05:24:35 +0000 2017,,214408,SpotifyCares,nan,699531,2,False
5c069235baec,spotifycares,it keeps on telling me payment method failed?,"Hey Owyn, help's here! Can you DM us your account's email address? We'll look into it /GS [URL]",Sat Dec 02 04:27:53 +0000 2017,"[support]: All clear! Thanks for your patience, you rock. Give us a shout if you need anything.",241233,SpotifyCares,67684.0,524363,3,True
65c29a67d3f8,spotifycares,good day. Is there a way to add more than three devices in one premuim account? Even if I upgrade to premuim for family?,"Hey there! We're afraid that's not possible, but you can help make it happen by supporting the official idea here: [URL] /NS",Thu Nov 30 02:39:31 +0000 2017,,821438,SpotifyCares,nan,2978438,2,False
f30251f4027c,spotifycares,"are the servers down? i can't log in on your website, and my spotify on my pc is just locked in offline mode","Hi! Are you able to load other websites? Also, can you let us know what OS/Spotify version you're using? We'll see what we can suggest /WW",Thu Oct 12 15:48:50 +0000 2017,,537170,SpotifyCares,nan,1788238,2,False
537e5a88e63b,spotifycares,sent u the details in pm,Hey Esmeraldo! We've just replied to your DM. We'll carry on helping you there /CM,Sun Nov 26 05:55:29 +0000 2017,,683437,SpotifyCares,nan,2368011,2,False
e3b199431ce1,spotifycares,Will you please consider separating full albums and singles in the New Releases section? Always a letdown to click what looks like a new album that ends after one song. Thanks!,"Hey Freddy, this sounds like a great idea! Suggest it in our Community at [URL] and get support from other users /KL",Fri Nov 17 16:11:27 +0000 2017,,740997,SpotifyCares,nan,2622850,2,False
454fa0046d5f,spotifycares,I got charged twice and can’t talk to a person about it. Please help me.,"Hey Matilyn! We're afraid don't offer telephone support, but we can help via Twitter. Can you DM us your account's email address? /RA [URL]",Fri Oct 06 04:27:15 +0000 2017,,607433,SpotifyCares,nan,2053869,2,True
d898a9608a8e,spotifycares,this is why i was like « wtf is happening??» 😂 [URL],Thanks for letting us know. Give us a shout if it starts misbehaving again; we're always here to help /YM,Sat Nov 04 23:52:06 +0000 2017,"[support]: Hey Tom! We're sorry to hear that. Can you let us know if your playlists remain downloaded when your offline albums desynced? /YM | [customer]: Well it depend, certains yes but other no | [support]: 2: They should help with this. We're here for you if there's anything else /YM",140669,SpotifyCares,1589494.0,1589499,5,False
bcaeee61a9e6,spotifycares,It would be super cool if the Discover Weekly playlist had a date somewhere to show when it was created,"Hi Jorge! On the desktop app, the right part of the Discover Weekly playlist shows how long ago the tracks were added? Hope this helps /GK",Mon Oct 09 07:16:59 +0000 2017,,320112,SpotifyCares,nan,841105,2,False
be978c66edda,spotifycares,OK hope u guys soon launch in India too,"Don't worry, we'll make sure to update everyone once we have info to share. Just let us know if we can help with anything else /BM",Sat Oct 14 14:30:27 +0000 2017,[support]: Hi there! We're launching regularly in countries around the world. Sign up here to be first to hear: [URL] /BM,385390,SpotifyCares,1125545.0,1125543,3,False
c8506add2f40,spotifycares,"Hi - I've tried that(I've even provided you console logs showing the issue...). Can you please debug your side, since it's looking like something is broken in your service layer.","We understand. Don't worry, our best tech folks are investigating this. Hopefully we'll have a fix soon! /MU",Thu Oct 19 14:18:05 +0000 2017,"[support]: Hi Ruairi! Help's here. Can you let us know if you can play those tracks on a different device? Keep us posted /MU | [customer]: Does not play on mobile either. | [support]: You might've done this before, but can you try logging out &gt; restarting your devices &gt; logging back in? Did it make a difference? /MU",232362,SpotifyCares,1857826.0,1857829,5,False
4139274471fc,spotifycares,do you guys have an estimated Date for the Update that Supports the iPhone X Display fully? Because it would look much better,1: Hi there. Thanks for bringing this up. We're afraid we don't have any info yet on updates for the app to maximize the new iPhone's...,Sun Nov 05 00:17:45 +0000 2017,,489595,SpotifyCares,nan,1592993,2,False
2b2ccb052f2b,spotifycares,#DDoS all our data has been stolen?,"Hey, help's here! Can you DM us your account's email address? We'll take a look under the hood /GS [URL]",Tue Nov 28 21:51:08 +0000 2017,"[support]: Something’s not quite right, and we’re looking into it. Thanks for your reports!",806219,SpotifyCares,89471.0,2912435,3,True
d2e1e1b1b7ea,spotifycares,Long for the days when I could send playlists to friends on the platform. Now have to type string of random characters. #hard.,"Hey Jeff, help's here! You can easily share playlists on social media with a playlist link, Just tap the three dots &gt; Share &gt; Copy Link /TB",Sat Oct 21 20:42:14 +0000 2017,,349854,SpotifyCares,nan,968301,2,False
e1a4f576bcbe,spotifycares,"songs keep disappearing out of my playlists, I keep needing to re-add them every time, how come?",Hey! Can you DM us your account's email address? We'll see what we can suggest /CB [URL],Tue Oct 31 21:20:37 +0000 2017,,501689,SpotifyCares,nan,2983683,2,True
c3d71fa56202,spotifycares,"Are we each going to get a personalized “Your Top Songs 2017” playlist like the “Your Top Songs 2016” playlist last year? If so, when will it arrive?👀","Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see. Keep rocking 🤘 /TI",Wed Nov 29 17:52:50 +0000 2017,,393453,SpotifyCares,nan,2957854,2,False
